Rank,Company,Tier,Segment,Sub-Segment,Region,HQ,Weather Hook (why they buy),Key Assets / Notes
1,Global Infrastructure Partners,1 - Existential,LNG,JV Partner,US Gulf/Global,Investor office,Rio Grande LNG Phase 1 investor; infrastructure weather risk,Rio Grande LNG JV
2,Japan LNG Investment (Mitsubishi + NYK),1 - Existential,LNG,JV Partner,US Gulf/Global,Investor office,Cameron LNG 16.6%; joint Japanese investment vehicle,Cameron LNG JV
3,Mitsui & Co.,1 - Existential,LNG,JV Partner,US Gulf/Global,Investor office,Cameron LNG 16.6% + multiple US LNG stakes; Japanese trading house weather desks,Cameron LNG JV
4,Mubadala Energy,1 - Existential,LNG,JV Partner,US Gulf/Global,Investor office,"Rio Grande LNG stake; UAE strategic, global weather exposure",Rio Grande LNG JV
5,Stonepeak,1 - Existential,LNG,JV Partner,US Gulf/Global,Investor office,Calcasieu Pass LNG infrastructure investor; Gulf surge exposure,Calcasieu Pass JV
6,CVR — Coffeyville KS,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Historic 2007 flood shutdown; tornadoes,~115 kbd
7,CVR — Wynnewood OK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ice storms; tornadoes,~70 kbd
8,Chevron — El Segundo CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Coastal marine layer; heat,~290 kbd
9,Chevron — Pascagoula MS,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Direct hurricane corridor,~360 kbd
10,Chevron — Richmond CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Bay fog; heat events; wildfire smoke,~245 kbd
11,Chevron — Salt Lake City UT,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Inversion + snow,~45 kbd
12,Citgo — Corpus Christi TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane corridor; lightning,~165 kbd
13,Citgo — Lemont IL,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Chicago winters; barge ice,~167 kbd
14,Delek — Big Spring TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,West TX wind + hail,~73 kbd
15,Delek — El Dorado AR,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ice storms; tornadoes,~80 kbd
16,Delek — Tyler TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,East TX storms,~60 kbd
17,ExxonMobil — Baton Rouge LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane corridor,~509 kbd
18,ExxonMobil — Baytown TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Largest US refinery; surge + lightning,~564 kbd
19,ExxonMobil — Beaumont TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane corridor; freeze,~409 kbd
20,Flint Hills — Corpus Christi (East+West) TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Gulf heat; lightning; hurricanes,~600 kbd combined
21,Flint Hills — Pine Bend (Rosemount) MN,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Blizzards; spring flooding; -30F ops,~375 kbd
22,HF Sinclair — Cheyenne WY,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Converted renewable diesel; wind ops,RD facility
23,HF Sinclair — El Dorado KS,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Winter storms,~135 kbd
24,HF Sinclair — Sinclair WY,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Wind + high-altitude snow,~95 kbd
25,HF Sinclair — Tulsa East OK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ice storms,~125 kbd
26,HF Sinclair — Tulsa West OK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ice storms,~125 kbd
27,Marathon — Anacortes WA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Pacific storms; fog for tanker berthing,~119 kbd
28,Marathon — Canton OH,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Winter storms; barge logistics,~100 kbd
29,Marathon — Catlettsburg KY,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ohio River flooding; winter ice,~280 kbd
30,Marathon — Detroit MI,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Great Lakes freeze/thaw logistics,~140 kbd
31,Marathon — El Paso TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Desert heat + dust; monsoon surges,~134 kbd
32,Marathon — Galveston Bay (Texas City) TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane Ike lineage; lightning + surge,593 kbd
33,Marathon — Garyville LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Direct hurricane path; levy-side location,597 kbd
34,Marathon — Kenai AK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Cook Inlet ice + volcanics + winter ops,~68 kbd
35,Marathon — Los Angeles CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Santa Ana + heat; emissions constraints,~363 kbd
36,Marathon — Mandan ND,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Bakken blizzards; river ice,~124 kbd
37,Marathon — Robinson IL,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Midwest storms; tornado proximity,~253 kbd
38,Marathon — Salt Lake City UT,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Inversion season + snow ops,~61 kbd
39,PBF — Chalmette LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Katrina-lineage exposure; surge,~190 kbd
40,PBF — Delaware City DE,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Nor'easters; harbor ice,~190 kbd
41,PBF — Paulsboro NJ,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,River ice; coastal storms,~160 kbd
42,PBF — Torrance CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Santa Ana; earthquake-adjacent; fog,~165 kbd
43,Par Pacific — Anacortes WA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Pacific storms; fog,~149 kbd
44,Par Pacific — Billings MT,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Blizzards; flooding,~60 kbd
45,Par Pacific — Hawaii (Kapolei),1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Pacific hurricanes; tsunami; remote logistics,~94 kbd
46,Phillips 66 — Bayway (Linden) NJ,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Nor'easters; Sandy lineage,~130 kbd
47,Phillips 66 — Billings MT,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Blizzards; Yellowstone flooding,~60 kbd
48,Phillips 66 — Borger TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Panhandle wind/ice,~150 kbd
49,Phillips 66 — Ferndale WA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Pacific storms; fog berthing,~105 kbd
50,Phillips 66 — Lake Charles LA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Hurricane direct-hit corridor,~264 kbd
51,Phillips 66 — Los Angeles CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Heat + marine layer ops,~139 kbd
52,Phillips 66 — Ponca City OK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Tornado alley; ice storms,~200 kbd
53,Phillips 66 — Sweeny (Old Ocean) TX,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Freeze events (Uri lineage); lightning,~265 kbd
54,Phillips 66 — Wood River IL (Roxana),1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Mississippi flooding; winter ice,~356 kbd
55,Valero — Ardmore OK,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Ice storms; tornadoes,~90 kbd
56,Valero — Benicia CA,1 - Existential,Refining,Plant-Level Account,US,Plant ops team,Bay fog for tanker ops; wildfire smoke,~170 kbd
